"hf_ng","area_size","area_size_s","log_hf_ng","epg","epg_s","age","sex","density","density_s","log_area","log_area_s","authority","self_drive","session","region","campaign","ndvi_1m","ndvi_1m_s","site"
248.691589,27,-0.303066121833798,5.51621353037417,4100,1.61533069946705,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
301.055556,27,-0.303066121833798,5.70729481914624,4475,1.87325072792903,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
318.394161,48,-0.299384448355649,5.76329011523424,2125,0.256951882900601,"SA","M",0.354166667,-0.756771749641505,3.87120101090789,-1.08699150220853,"Private","prohibited","south1","south","1",0.324,1.10435404079752,"Site 4"
419.20904,450,-0.228906698916812,6.03836969765981,25,-1.18740027648651,"A","F",0.004444444,-1.24632586368531,6.10924758276437,0.446977533486207,"NonPrivate","prohibited","south1","south","1",0.275,0.386167731805872,"Site 2"
390.941176,450,-0.228906698916812,5.96855710365459,850,-0.619976213870142,"A","F",0.004444444,-1.24632586368531,6.10924758276437,0.446977533486207,"NonPrivate","prohibited","south1","south","1",0.275,0.386167731805872,"Site 2"
1336.140351,680,-0.188583608441856,7.19754040172261,0,-1.20459494505064,"A","F",2.058823529,1.62947003009549,6.52209279817015,0.729943842110374,"NonPrivate","prohibited","north2","north","2",0.15375,-1.39097696136224,"Site 17"
526.235294,680,-0.188583608441856,6.26574843971301,1025,-0.499613533921217,"A","F",2.058823529,1.62947003009549,6.52209279817015,0.729943842110374,"NonPrivate","prohibited","north2","north","2",0.15375,-1.39097696136224,"Site 17"
640.174419,680,-0.188583608441856,6.46174066891175,75,-1.15301093935824,"SA","M",2.058823529,1.62947003009549,6.52209279817015,0.729943842110374,"NonPrivate","prohibited","north2","north","2",0.15375,-1.39097696136224,"Site 17"
176.685083,360,-0.244685299537448,5.17436895584132,75,-1.15301093935824,"A","F",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
325.888889,360,-0.244685299537448,5.78655649198218,225,-1.04984292797345,"A","M",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
244.007859,360,-0.244685299537448,5.4972004337909,1250,-0.344861516844027,"A","F",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
291.689587,360,-0.244685299537448,5.67569017860194,275,-1.01545359084518,"A","F",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north2","north","2",0.152214285714286,-1.41348571594434,"Site 13"
